                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.97057,                0.52453,                0.85066,                0.56563,                0.46019,                0.47048,                0.29148,                 1.1178,                0.78609,                0.88262,               0.005842,               0.005842,               0.005842
                     86,                0.97017,                0.52523,                0.84938,                0.57528,                0.45294,                0.47076,                0.29109,                  1.115,                0.78766,                0.88133,              0.0057925,              0.0057925,              0.0057925
                     87,                0.96609,                0.52144,                0.84838,                0.57219,                0.45825,                 0.4726,                0.29262,                 1.1119,                0.79146,                0.88196,               0.005743,               0.005743,               0.005743
                     88,                0.96514,                0.52142,                0.84892,                0.57525,                0.45479,                0.47247,                 0.2921,                 1.1113,                0.79309,                0.88216,              0.0056935,              0.0056935,              0.0056935
                     89,                0.96217,                0.51902,                0.84834,                0.57067,                0.45496,                 0.4736,                  0.293,                 1.1112,                0.79414,                0.88201,               0.005644,               0.005644,               0.005644
                     90,                0.95566,                0.51394,                0.84839,                0.58778,                0.44891,                0.47459,                0.29289,                 1.1124,                0.79199,                0.88214,              0.0055945,              0.0055945,              0.0055945
                     91,                0.95619,                0.51226,                0.84831,                0.57579,                0.45229,                0.47173,                0.29134,                 1.1128,                0.79139,                0.88202,               0.005545,               0.005545,               0.005545
                     92,                0.95353,                0.51021,                0.84765,                 0.5805,                0.45492,                0.47296,                0.29197,                 1.1148,                0.78702,                0.88252,              0.0054955,              0.0054955,              0.0054955
                     93,                0.95251,                0.51068,                0.84668,                0.57309,                0.45507,                0.47234,                0.29174,                 1.1177,                0.79078,                0.88369,               0.005446,               0.005446,               0.005446
                     94,                0.94401,                0.50683,                0.84491,                0.56881,                0.45848,                0.47225,                0.29204,                 1.1147,                0.79173,                0.88254,              0.0053965,              0.0053965,              0.0053965
                     95,                0.94518,                0.50609,                0.84664,                0.58165,                0.45514,                0.47124,                0.29187,                 1.1138,                0.78904,                0.88223,               0.005347,               0.005347,               0.005347
                     96,                0.94675,                0.50496,                0.84543,                0.57784,                0.45663,                0.47223,                0.29219,                 1.1151,                0.78979,                0.88217,              0.0052975,              0.0052975,              0.0052975
                     97,                0.94072,                0.50172,                0.84617,                0.57825,                0.45423,                0.47186,                0.29124,                 1.1135,                0.79394,                0.88253,               0.005248,               0.005248,               0.005248
                     98,                0.94067,                0.50185,                  0.843,                0.57508,                0.45507,                0.47045,                0.29116,                 1.1124,                 0.7923,                0.88285,              0.0051985,              0.0051985,              0.0051985
                     99,                  0.939,                0.49969,                0.84377,                0.57147,                0.45967,                0.47099,                0.29157,                 1.1137,                0.79112,                0.88311,               0.005149,               0.005149,               0.005149
