                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                 1.2157,                 0.7008,                0.85272,                0.79392,                0.51114,                0.55577,                0.33245,                 1.4393,                0.70692,                0.93789,               0.004951,               0.004951,               0.004951
                    104,                 1.2133,                0.69969,                0.85429,                0.79279,                0.51469,                0.55649,                0.33294,                 1.4375,                0.70413,                0.93772,              0.0049015,              0.0049015,              0.0049015
                    105,                 1.1963,                0.68746,                0.84553,                0.79651,                0.51544,                0.55609,                0.33313,                 1.4375,                0.70296,                0.93847,               0.004852,               0.004852,               0.004852
                    106,                 1.2049,                0.69783,                0.85265,                0.79585,                0.51502,                0.55544,                0.33273,                 1.4364,                 0.7026,                0.93779,              0.0048025,              0.0048025,              0.0048025
                    107,                 1.1896,                0.68864,                0.84836,                0.80014,                0.51704,                0.55697,                0.33235,                 1.4348,                0.70149,                0.93703,               0.004753,               0.004753,               0.004753
                    108,                 1.1931,                0.69062,                0.85243,                0.80168,                0.51521,                 0.5538,                0.33144,                 1.4354,                0.70219,                0.93731,              0.0047035,              0.0047035,              0.0047035
                    109,                 1.1824,                0.68191,                0.84852,                0.80163,                0.51701,                0.55492,                 0.3321,                 1.4351,                0.70205,                0.93732,               0.004654,               0.004654,               0.004654
                    110,                  1.185,                0.68264,                0.84853,                0.79349,                0.51806,                0.55624,                0.33353,                 1.4353,                0.70233,                0.93704,              0.0046045,              0.0046045,              0.0046045
                    111,                  1.181,                0.68306,                0.84694,                0.79435,                0.51838,                 0.5565,                0.33402,                 1.4343,                0.70324,                0.93694,               0.004555,               0.004555,               0.004555
                    112,                 1.1756,                0.68007,                0.85014,                0.79162,                0.51878,                 0.5564,                0.33386,                 1.4342,                0.70464,                 0.9368,              0.0045055,              0.0045055,              0.0045055
                    113,                 1.1761,                0.68424,                0.84649,                0.79173,                0.51914,                0.55582,                0.33393,                 1.4323,                0.70557,                0.93654,               0.004456,               0.004456,               0.004456
                    114,                 1.1697,                0.68223,                0.84747,                0.79298,                0.51849,                0.55647,                0.33404,                 1.4321,                0.70551,                0.93642,              0.0044065,              0.0044065,              0.0044065
                    115,                  1.167,                0.67492,                0.84725,                0.79535,                0.51882,                0.55746,                0.33474,                 1.4316,                0.70213,                0.93591,               0.004357,               0.004357,               0.004357
                    116,                 1.1608,                0.66871,                 0.8454,                0.79387,                0.51996,                0.55918,                0.33523,                 1.4292,                0.70176,                0.93613,              0.0043075,              0.0043075,              0.0043075
                    117,                 1.1499,                0.66385,                0.84413,                0.79567,                0.52133,                0.55953,                0.33515,                 1.4291,                 0.7024,                0.93612,               0.004258,               0.004258,               0.004258
                    118,                 1.1591,                0.67237,                0.84271,                0.78884,                0.52172,                0.55994,                0.33518,                   1.43,                0.70344,                0.93671,              0.0042085,              0.0042085,              0.0042085
                    119,                 1.1558,                0.66895,                0.84256,                0.79043,                0.52183,                0.56041,                 0.3351,                 1.4301,                 0.7026,                 0.9371,               0.004159,               0.004159,               0.004159
                    120,                 1.1533,                0.66498,                0.84371,                0.78999,                0.52311,                0.56106,                0.33531,                 1.4307,                0.70292,                 0.9372,              0.0041095,              0.0041095,              0.0041095
                    121,                 1.1528,                0.66304,                0.84449,                0.78128,                0.52421,                0.56122,                0.33617,                 1.4302,                0.70264,                0.93711,                0.00406,                0.00406,                0.00406
                    122,                 1.1391,                0.65401,                0.84218,                0.78346,                0.52199,                0.56082,                0.33541,                  1.431,                0.70252,                0.93719,              0.0040105,              0.0040105,              0.0040105
                    123,                 1.1384,                0.65816,                0.84267,                0.78472,                0.52143,                0.56076,                 0.3357,                 1.4294,                0.70119,                0.93752,               0.003961,               0.003961,               0.003961
                    124,                 1.1317,                0.64934,                0.84121,                 0.7865,                0.52237,                 0.5617,                0.33587,                 1.4296,                0.70028,                0.93754,              0.0039115,              0.0039115,              0.0039115
                    125,                 1.1355,                0.65745,                0.84215,                0.78629,                0.52347,                0.56219,                0.33654,                 1.4283,                 0.6995,                0.93745,               0.003862,               0.003862,               0.003862
                    126,                  1.133,                0.65278,                0.84093,                 0.7841,                0.52464,                0.56279,                0.33724,                 1.4279,                0.69838,                 0.9376,              0.0038125,              0.0038125,              0.0038125
                    127,                 1.1369,                0.64849,                0.84625,                0.78433,                0.52371,                 0.5624,                0.33752,                 1.4277,                0.69735,                0.93715,               0.003763,               0.003763,               0.003763
                    128,                 1.1221,                0.64933,                 0.8386,                0.77953,                0.52457,                0.56269,                0.33762,                 1.4265,                0.69727,                0.93674,              0.0037135,              0.0037135,              0.0037135
